"","date","time","temperature","windspeed","winddirection","winddegree","airpressure"
"1","2020-04-01","23:30:04",-1.8,3.6,"NE",45,892.3
"2","2020-04-01","23:35:04",-1.7,3.6,"N",0,892.3
"3","2020-04-01","23:40:04",-1.9,5,"NE",45,892.4
"4","2020-04-01","23:45:04",-1.9,3.6,"NNE",23,892.3
"5","2020-04-01","23:50:04",-1.8,3.6,"NE",45,892.4
"6","2020-04-01","23:55:05",-2,5,"NE",45,892.4
"7","2020-04-02","00:00:04",-2.2,5,"NE",45,892.3
"8","2020-04-02","00:05:04",-2.2,5,"NE",45,892.4
"9","2020-04-02","00:10:05",-2.4,1.1,"NNE",23,892.3
"10","2020-04-02","00:15:04",-2.3,3.6,"NE",45,892.3
"11","2020-04-02","00:20:05",-2.1,1.1,"N",0,892.3
"12","2020-04-02","00:25:05",-2.1,3.6,"NE",45,892.3
"13","2020-04-02","00:30:04",-2.1,3.6,"N",0,892.2
"14","2020-04-02","00:35:04",-2.1,2.5,"N",0,892.2
"15","2020-04-02","00:40:04",-2.1,3.6,"NE",45,892.2
"16","2020-04-02","00:45:04",-2.4,5,"NE",45,892.2
"17","2020-04-02","00:50:05",-2.5,3.6,"NE",45,892.1
"18","2020-04-02","00:55:05",-2.4,3.6,"NE",45,892
"19","2020-04-02","01:00:04",-2.5,2.5,"NE",45,892.1
"20","2020-04-02","01:05:04",-2.5,3.6,"NE",45,892.1
"21","2020-04-02","01:10:05",-2.6,6.1,"NE",45,892
"22","2020-04-02","01:15:03",-2.6,5,"NE",45,892
"23","2020-04-02","01:20:04",-2.6,3.6,"NE",45,891.9
"24","2020-04-02","01:25:04",-2.6,5,"N",0,891.9
"25","2020-04-02","01:30:04",-2.5,3.6,"N",0,891.8
"26","2020-04-02","01:35:04",-2.5,0,"N",0,891.8
"27","2020-04-02","01:40:05",-2.6,3.6,"NE",45,891.8
"28","2020-04-02","01:45:03",-2.6,2.5,"NE",45,891.6
"29","2020-04-02","01:50:04",-2.6,3.6,"N",0,891.6
"30","2020-04-02","01:55:04",-2.7,2.5,"N",0,891.7
"31","2020-04-02","02:00:04",-2.8,0,"N",0,891.6
"32","2020-04-02","02:05:04",-2.8,0,"N",0,891.5
"33","2020-04-02","02:10:05",-3,1.1,"N",0,891.4
"34","2020-04-02","02:15:03",-2.9,3.6,"NE",45,891.5
"35","2020-04-02","02:20:04",-3,5,"NE",45,891.3
"36","2020-04-02","02:25:04",-3,5,"NE",45,891.2
"37","2020-04-02","02:30:04",-3,6.1,"NE",45,891.3
"38","2020-04-02","02:35:04",-3,5,"N",0,891.2
"39","2020-04-02","02:40:05",-3,1.1,"N",0,891.3
"40","2020-04-02","02:45:03",-3.1,2.5,"NE",45,891
"41","2020-04-02","02:50:04",-3.1,2.5,"NE",45,891
"42","2020-04-02","02:55:04",-3.1,2.5,"NE",45,891.1
"43","2020-04-02","03:00:04",-3,3.6,"N",0,891.1
"44","2020-04-02","03:05:04",-3,3.6,"NNE",23,890.9
"45","2020-04-02","03:10:05",-3,3.6,"N",0,890.9
"46","2020-04-02","03:15:03",-3,3.6,"NE",45,890.9
"47","2020-04-02","03:20:04",-3.1,5,"NNE",23,890.9
"48","2020-04-02","03:25:04",-3,3.6,"NNE",23,890.9
"49","2020-04-02","03:30:04",-3.1,3.6,"NE",45,890.9
"50","2020-04-02","03:35:04",-3.2,5,"NE",45,890.9
"51","2020-04-02","03:40:05",-3.5,3.6,"NNE",23,890.8
"52","2020-04-02","03:45:03",-3.5,3.6,"NE",45,890.8
"53","2020-04-02","03:50:04",-3.5,3.6,"NE",45,890.7
"54","2020-04-02","03:55:04",-3.6,2.5,"N",0,890.7
"55","2020-04-02","04:00:04",-3.5,2.5,"N",0,890.6
"56","2020-04-02","04:05:04",-3.5,2.5,"N",0,890.6
"57","2020-04-02","04:10:05",-3.4,2.5,"N",0,890.5
"58","2020-04-02","04:15:04",-3.5,3.6,"NE",45,890.5
"59","2020-04-02","04:20:05",-3.7,3.6,"NE",45,890.4
"60","2020-04-02","04:25:05",-3.6,2.5,"NE",45,890.5
"61","2020-04-02","04:30:04",-3.6,3.6,"NE",45,890.5
"62","2020-04-02","04:35:04",-3.8,3.6,"NE",45,890.4
"63","2020-04-02","04:40:05",-3.9,3.6,"NE",45,890.4
"64","2020-04-02","04:45:03",-3.8,2.5,"N",0,890.3
"65","2020-04-02","04:50:04",-3.7,2.5,"NE",45,890.3
