"","Outlying","Skewed","Clumpy","Sparse","Striated","Convex","Skinny","Stringy","Monotonic"
"ratio002 * ratio003",0,0.61221725259395,0.105369356616986,0.0140066195348431,0.064327485380117,0.0427647125940833,0.563158313381039,0.328398291508458,0.00165384886662605
"ratio002 * ratio004",0.121505725197157,0.612503925416806,0.102972522901297,0.0148562634818813,0.16452442159383,0.0932620806500325,0.30871918461319,0.466054821474569,0.00579564612638486
"ratio003 * ratio004",0.0914559248629045,0.5568961059738,0.0537771865102682,0.0139539958564883,0.106976744186047,0.156651448034941,0.385953389930685,0.398868848593964,0.081639577009759
"ratio002 * ratio005",0.121029629025657,0.621861795827456,0.0906823846559524,0.0147069505115852,0.127450980392157,0.0947744611898732,0.453753529316994,0.402466688924389,0.0101221247304713
"ratio003 * ratio005",0.0552036225322103,0.555713541402455,0.0543076244364667,0.0139539958564883,0.101865136298422,0.171155306622479,0.434283092029603,0.402102904653925,0.100798291177044
"ratio004 * ratio005",0.0946913794717985,0.565562598181462,0.0359427640443678,0.0141633174816746,0.115789473684211,0.115703910277235,0.520531834060743,0.475212585348707,0.217855350842448
"ratio002 * ratio006",0.150477013587444,0.609151301311913,0.103784400012163,0.0148562634818813,0.191616766467066,0.0291898650583974,0.521676627995478,0.415417842512517,6.01177321512915e-05
"ratio003 * ratio006",0.0995955728179607,0.554978226922443,0.10589354762133,0.0144376929499994,0.242553191489362,0.0408210608413594,0.594870172015129,0.552403108616126,0.00967225715089324
"ratio004 * ratio006",0.110076433794937,0.582651830936985,0.10159444180007,0.0140764784197535,0.278538812785388,0.0343233603098458,0.587209714266699,0.603179317112498,0.0883888203385919
"ratio005 * ratio006",0.0817704092002951,0.564966800671536,0.102938305284219,0.0140938890366985,0.202846975088968,0.0518855795105912,0.585155320211298,0.569846148851189,0.0471847156013727
"ratio002 * ratio011",0.127940674244774,0.592124437872456,0.102523632044077,0.0150367437595348,0.19,0.0708243455678798,0.358988902117721,0.443691906183203,0.000499474817043765
"ratio003 * ratio011",0.132250215679746,0.581587458700139,0.102077524834667,0.0144376929499994,0.150105708245243,0.105525716637987,0.498888329456158,0.438793144128982,0.00985498895309563
"ratio004 * ratio011",0.0682032898849927,0.5493194586997,0.106174305234419,0.0141633174816746,0.144761904761905,0.12031104176824,0.41357882397967,0.412704128915789,0.0100652492090238
"ratio005 * ratio011",0.0601334820914768,0.554292300421397,0.104735526005867,0.0141806214801642,0.143356643356643,0.125190728319206,0.481207944530214,0.435018542657174,0.0190562367903629
"ratio006 * ratio011",0.299779031644846,0.61896931051809,0.0987888390074639,0.0147734981388348,0.202185792349727,0.0397933929691867,0.443669695278676,0.442284850448116,0.00135604930490766
"ratio002 * ratio012",0.136797783700592,0.617552119458357,0.113027392670572,0.0147069505115852,0.218253968253968,0.0528891492568953,0.407999153253803,0.46059549587936,0.000298969041564216
"ratio003 * ratio012",0.0936019600796206,0.579285757089996,0.136935252285806,0.0143695902450461,0.152298850574713,0.0805272341477944,0.477573154378969,0.438727616754289,0.00012701975540328
"ratio004 * ratio012",0.075438254195171,0.578662417745551,0.134611508780937,0.014284005265527,0.163814180929095,0.0918418240842612,0.424426610714455,0.428480439431892,0.00123511045388153
"ratio005 * ratio012",0.0756445088602881,0.57331707096678,0.130550631746408,0.014284005265527,0.147321428571429,0.0999759486868766,0.449623865278139,0.464355979179602,0.00521097009053906
"ratio006 * ratio012",0.163321456779931,0.588924006996312,0.0934169013410974,0.0147734981388348,0.201342281879195,0.0286515733568128,0.425273083391941,0.45062962962963,0.00228740160257914
"ratio011 * ratio012",0.162198722729819,0.63352086826458,0.073141317197186,0.0159700033823416,0.230769230769231,0.0505403377611045,0.386342169742428,0.485716759141349,0.0980187899648119
"ratio002 * DPO",0.0653587606138393,0.563535931051918,0.101600466368321,0.0141806214801642,0.150205761316872,0.111863769183547,0.408986781493958,0.40096857502318,0.0270735176334761
"ratio003 * DPO",0.0732108251998023,0.573534669746372,0.0546500263800786,0.0144376929499994,0.0915141430948419,0.151714637247126,0.492833334717366,0.384053070962272,0.0182919541967923
"ratio004 * DPO",0.076851842158422,0.555732370384458,0.0502942189737396,0.0143695902450461,0.0813008130081301,0.153894659294727,0.486607051463588,0.391018798828125,0.0161940859990481
"ratio005 * DPO",0.0544122574024087,0.569651876598667,0.0458996731194071,0.0141633174816746,0.0699088145896656,0.165569672029859,0.492861109568282,0.39922172576189,0.0212097459764768
"ratio006 * DPO",0.320383664495083,0.596395433299078,0.10723860000571,0.0147069505115852,0.1953125,0.0595360655421039,0.318063476523212,0.443106432003851,0.0037340571917541
"ratio011 * DPO",0.088036619202419,0.589835722645591,0.113457193585688,0.0144206974256268,0.147435897435897,0.109047898785182,0.359601058969317,0.442506621219742,0.00670111249069379
"ratio012 * DPO",0.0716958012226064,0.574367763324049,0.140637366648991,0.0141806214801642,0.171837708830549,0.0929558167583422,0.39123497003691,0.447488148595251,0.00141182475027383
"ratio002 * DSO",0.0597656373856406,0.58780188074991,0.102797635461633,0.0144376929499994,0.155430711610487,0.118135376416053,0.54907797452361,0.395144657525881,0.017256034543537
"ratio003 * DSO",0.0674926534766241,0.597836193052242,0.0613644813580006,0.0143695902450461,0.0921985815602837,0.167762414368667,0.497465868526671,0.364834321943747,0.00135902479359985
"ratio004 * DSO",0.0843061289104311,0.584826869220445,0.0550019799953958,0.0143695902450461,0.0916334661354582,0.180671812919065,0.567123590059139,0.42966980748193,0.00172856569124674
"ratio005 * DSO",0.0443468337659961,0.553114561843658,0.0386241258949433,0.0141633174816746,0.0865384615384615,0.202073312418746,0.524189202934087,0.428319008615498,0.0114201163098433
"ratio006 * DSO",0.070534381572127,0.553252357459011,0.105325278317785,0.0141633174816746,0.211409395973154,0.0641068804002313,0.491969786759784,0.42549105183337,0.000827933223878698
"ratio011 * DSO",0.137188251483532,0.579467257782243,0.11321052569773,0.0144376929499994,0.141791044776119,0.119956468042238,0.353465858346621,0.451997937288541,0.00139241338299038
